"SPECIES","NAME"
"S1","Absconditella celata"
"S2","Absconditella delutula"
"S3","Absconditella lignicola"
"S4","Absconditella pauxilla"
"S5","Absconditella trivialis"
"S6","Acarospora admissa"
"S7","Acarospora anomala"
"S8","Acarospora badiofusca"
"S9","Acarospora cervina"
"S10","Acarospora durietzii"
"S11","Acarospora fuscata"
"S12","Acarospora glaucocarpa"
"S13","Acarospora impressula"
"S14","Acarospora macrospora subsp. macrospora"
"S15","Acarospora moenium"
"S16","Acarospora nitrophila"
"S17","Acarospora sinopica"
"S18","Acarospora umbilicata"
"S19","Acarospora veronensis"
"S20","Acolium inquinans"
"S21","Acolium sessile"
"S22","Acrocordia cavata"
"S23","Acrocordia conoidea"
"S24","Acrocordia gemmata"
"S25","Acrocordia macrospora"
"S26","Acrocordia salweyi"
"S27","Agonimia allobata"
"S28","Agonimia flabelliformis"
"S29","Agonimia gelatinosa"
"S30","Agonimia globulifera"
"S31","Agonimia octospora"
"S32","Agonimia opuntiella"
"S33","Agonimia tristicula"
"S34","Ainoa mooreana"
"S35","Alectoria nigricans"
"S36","Alectoria ochroleuca"
"S37","Alectoria sarmentosa"
"S38","Allantoparmelia alpicola"
"S39","Amandinea coniops"
"S40","Amandinea pelidna"
"S41","Amandinea punctata"
"S42","Ameliella andreaeicola"
"S43","Amygdalaria consentiens"
"S44","Amygdalaria pelobotryon"
"S45","Anaptychia ciliaris"
"S46","Anaptychia runcinata"
"S47","Anisomeridium biforme"
"S48","Anisomeridium polypori"
"S49","Anisomeridium ranunculosporum"
"S50","Anisomeridium robustum"
"S51","Anisomeridium viridescens"
"S52","Antennulariella lichenisata"
"S53","Aquacidia antricola"
"S54","Aquacidia trachona"
"S55","Aquacidia viridifarinosa"
"S56","Arctomia delicatula"
"S57","Arctoparmelia incurva"
"S58","Arthonia anglica"
"S59","Arthonia anombrophila"
"S60","Arthonia arthonioides"
"S61","Arthonia atlantica"
"S62","Arthonia cinnabarina"
"S63","Arthonia didyma"
"S64","Arthonia elegans sensu auct. brit."
"S65","Arthonia ilicina"
"S66","Arthonia ilicinella"
"S67","Arthonia lapidicola"
"S68","Arthonia ligniaria"
"S69","Arthonia ligniariella"
"S70","Arthonia mediella"
"S71","Arthonia meridionalis"
"S72","Arthonia muscigena"
"S73","Arthonia patellulata"
"S74","Arthonia phaeobaea"
"S75","Arthonia punctiformis"
"S76","Arthonia radiata"
"S77","Arthonia spadicea"
"S78","Arthonia stellaris"
"S79","Arthonia vinosa"
"S80","Arthonia zwackhii"
"S81","Arthopyrenia atractospora"
"S82","Arthopyrenia carneobrunneola"
"S83","Arthopyrenia nitescens"
"S84","Arthopyrenia salicis"
"S85","Arthopyrenia saxicola"
"S86","Arthothelium macounii"
"S87","Arthothelium norvegicum"
"S88","Arthothelium ruanum"
"S89","Arthrorhaphis alpina"
"S90","Arthrorhaphis citrinella"
"S91","Aspicilia aquatica"
"S92","Aspicilia caesiocinerea"
"S93","Aspicilia calcarea"
"S94","Aspicilia cinerea s. lat."
"S95","Aspicilia contorta"
"S96","Aspicilia epiglypta"
"S97","Aspicilia grisea"
"S98","Aspicilia intermutans"
"S99","Aspicilia laevata"
"S100","Aspicilia leprosescens"
"S101","Aspicilia radiosa"
"S102","Aspicilia recedens"
"S103","Aspicilia simoensis"
"S104","Atla wheldonii"
"S105","Bacidia absistens"
"S106","Bacidia arceutina"
"S107","Bacidia auerswaldii"
"S108","Bacidia bagliettoana"
"S109","Bacidia biatorina"
"S110","Bacidia caesiovirens"
"S111","Bacidia circumspecta"
"S112","Bacidia friesiana"
"S113","Bacidia fuscoviridis"
"S114","Bacidia herbarum"
"S115","Bacidia igniarii"
"S116","Bacidia incompta"
"S117","Bacidia laurocerasi"
"S118","Bacidia rubella"
"S119","Bacidia scopulicola"
"S120","Bacidia sipmanii"
"S121","Bacidia subcircumspecta"
"S122","Bacidia subincompta"
"S123","Bacidia subturgidula"
"S124","Bacidia vermifera"
"S125","Bacidia viridescens"
"S126","Bacidina adastra"
"S127","Bacidina arnoldiana"
"S128","Bacidina caligans"
"S129","Bacidina chloroticula"
"S130","Bacidina delicata"
"S131","Bacidina egenula"
"S132","Bacidina inundata"
"S133","Bacidina neosquamulosa"
"S134","Bacidina phacodes"
"S135","Bacidina saxenii"
"S136","Bacidina squamellosa"
"S137","Bacidina sulphurella"
"S138","Bactrospora corticola"
"S139","Bactrospora homalotropa"
"S140","Baeomyces carneus"
"S141","Baeomyces placophyllus"
"S142","Baeomyces rufus"
"S143","Belonia incarnata"
"S144","Belonia nidarosiensis"
"S145","Belonia russula"
"S146","Biatora beckhausii"
"S147","Biatora britannica"
"S148","Biatora chrysantha"
"S149","Biatora globulosa"
"S150","Biatora ligni-mollis"
"S151","Biatora vernalis"
"S152","Biatora veteranorum"
"S153","Biatorella fossarum"
"S154","Biatoridium delitescens"
"S155","Biatoridium monasteriense"
"S156","Bilimbia lobulata"
"S157","Bilimbia sabuletorum"
"S158","Botryolepraria lesdainii"
"S159","Brianaria bauschiana"
"S160","Brianaria lutulata"
"S161","Brianaria sylvicola"
"S162","Brianaria tuberculata"
"S163","Brigantiaea fuscolutea"
"S164","Bryobilimbia ahlesii"
"S165","Bryobilimbia hypnorum"
"S166","Bryobilimbia sanguineoatra"
"S167","Bryonora curvescens"
"S168","Bryoria bicolor"
"S169","Bryoria capillaris"
"S170","Bryoria chalybeiformis"
"S171","Bryoria furcellata"
"S172","Bryoria fuscescens"
"S173","Bryoria lanestris"
"S174","Bryoria nadvornikiana"
"S175","Bryoria smithii"
"S176","Bryoria subcana"
"S177","Buellia aethalea"
"S178","Buellia arborea"
"S179","Buellia arnoldii"
"S180","Buellia asterella"
"S181","Buellia badia"
"S182","Buellia disciformis"
"S183","Buellia erubescens"
"S184","Buellia griseovirens"
"S185","Buellia hyperbolica"
"S186","Buellia insignis"
"S187","Buellia leptocline"
"S188","Buellia leptoclinoides"
"S189","Buellia ocellata"
"S190","Buellia pulverea"
"S191","Buellia saxorum"
"S192","Buellia schaereri"
"S193","Buellia spuria"
"S194","Buellia stellulata"
"S195","Buellia subdisciformis"
"S196","Buellia uberior"
"S197","Buellia violaceofusca"
"S198","Bunodophoron melanocarpum"
"S199","Byssoloma leucoblepharum"
"S200","Byssoloma llimonae"
"S201","Byssoloma marginatum"
"S202","Byssoloma subdiscordans"
"S203","Caeruleum heppii"
"S204","Calicium abietinum"
"S205","Calicium diploellum"
"S206","Calicium glaucellum"
"S207","Calicium hyperelloides"
"S208","Calicium lenticulare"
"S209","Calicium notarisii"
"S210","Calicium parvum"
"S211","Calicium pinastri"
"S212","Calicium salicinum"
"S213","Calicium tigillare"
"S214","Calicium viride"
"S215","Caloplaca ahtii"
"S216","Caloplaca albolutescens"
"S217","Caloplaca alociza"
"S218","Caloplaca alstrupii"
"S219","Caloplaca aractina"
"S220","Caloplaca arenaria"
"S221","Caloplaca arnoldii"
"S222","Caloplaca asserigena"
"S223","Caloplaca atroflava"
"S224","Caloplaca aurantia"
"S225","Caloplaca britannica"
"S226","Caloplaca ceracea"
"S227","Caloplaca cerina"
"S228","Caloplaca cerinella"
"S229","Caloplaca cerinelloides"
"S230","Caloplaca chalybaea"
"S231","Caloplaca chlorina"
"S232","Caloplaca chrysodeta"
"S233","Caloplaca cinnamomea"
"S234","Caloplaca cirrochroa"
"S235","Caloplaca citrina s. lat."
"S236","Caloplaca coralliza"
"S237","Caloplaca crenularia"
"S238","Caloplaca crenulatella"
"S239","Caloplaca dalmatica"
"S240","Caloplaca decipiens"
"S241","Caloplaca dichroa"
"S242","Caloplaca ferruginea s. lat."
"S243","Caloplaca flavescens"
"S244","Caloplaca flavorubescens"
"S245","Caloplaca flavovirescens"
"S246","Caloplaca granulosa"
"S247","Caloplaca haematites"
"S248","Caloplaca herbidella s. lat."
"S249","Caloplaca holocarpa s. lat."
"S250","Caloplaca irrubescens"
"S251","Caloplaca itiana"
"S252","Caloplaca littorea"
"S253","Caloplaca lucifuga"
"S254","Caloplaca luteoalba"
"S255","Caloplaca marina"
"S256","Caloplaca maritima"
"S257","Caloplaca marmorata"
"S258","Caloplaca microthallina"
"S259","Caloplaca obliterans"
"S260","Caloplaca obscurella"
"S261","Caloplaca ochracea"
"S262","Caloplaca ruderum"
"S263","Caloplaca saxicola"
"S264","Caloplaca scopularis"
"S265","Caloplaca sol"
"S266","Caloplaca sorediella"
"S267","Caloplaca stillicidiorum"
"S268","Caloplaca suaedae"
"S269","Caloplaca teicholyta"
"S270","Caloplaca thallincola"
"S271","Caloplaca ulcerosa"
"S272","Caloplaca variabilis"
"S273","Caloplaca verruculifera"
"S274","Caloplaca virescens"
"S275","Caloplaca vitellinula"
"S276","Caloplaca xantholyta"
"S277","Calvitimela aglaea"
"S278","Calvitimela armeniaca"
"S279","Candelaria concolor"
"S280","Candelaria pacifica"
"S281","Candelariella aurella"
"S282","Candelariella coralliza"
"S283","Candelariella medians"
"S284","Candelariella reflexa"
"S285","Candelariella superdistans"
"S286","Candelariella vitellina"
"S287","Candelariella xanthostigma"
"S288","Candelariella xanthostigmoides"
"S289","Carbonea assimilis"
"S290","Carbonea vorticosa"
"S291","Catapyrenium cinereum"
"S292","Catapyrenium daedaleum"
"S293","Catapyrenium psoromoides"
"S294","Catillaria aphana"
"S295","Catillaria atomarioides"
"S296","Catillaria chalybeia"
"S297","Catillaria contristans"
"S298","Catillaria fungoides"
"S299","Catillaria gilbertii"
"S300","Catillaria lenticularis"
"S301","Catillaria nigroclavata"
"S302","Catillaria scotinodes"
"S303","Catillaria subviridis"
"S304","Catinaria atropurpurea"
"S305","Catinaria neuschildii"
"S306","Catolechia wahlenbergii"
"S307","Cavernularia hultenii"
"S308","Celothelium ischnobelum"
"S309","Cetraria aculeata"
"S310","Cetraria ericetorum"
"S311","Cetraria islandica"
"S312","Cetraria muricata"
"S313","Cetraria sepincola"
"S314","Cetrariella commixta"
"S315","Cetrariella delisei"
"S316","Cetrelia olivetorum s. lat."
"S317","Chaenotheca brachypoda"
"S318","Chaenotheca brunneola"
"S319","Chaenotheca chlorella"
"S320","Chaenotheca chrysocephala"
"S321","Chaenotheca ferruginea"
"S322","Chaenotheca furfuracea"
"S323","Chaenotheca gracilenta"
"S324","Chaenotheca hispidula"
"S325","Chaenotheca stemonea"
"S326","Chaenotheca trichialis"
"S327","Chaenotheca xyloxena"
"S328","Chaenothecopsis nigra"
"S329","Chaenothecopsis savonica"
"S330","Chrysothrix candelaris"
"S331","Chrysothrix chlorina"
"S332","Chrysothrix chrysophthalma"
"S333","Chrysothrix flavovirens"
"S334","Cladonia angustiloba"
"S335","Cladonia arbuscula s. lat."
"S336","Cladonia azorica"
"S337","Cladonia bellidiflora"
"S338","Cladonia botrytes"
"S339","Cladonia caespiticia"
"S340","Cladonia callosa"
"S341","Cladonia cariosa"
"S342","Cladonia carneola"
"S343","Cladonia cenotea"
"S344","Cladonia cervicornis"
"S345","Cladonia chlorophaea s. lat."
"S346","Cladonia ciliata"
"S347","Cladonia coccifera s. lat."
"S348","Cladonia coniocraea"
"S349","Cladonia convoluta"
"S350","Cladonia cornuta"
"S351","Cladonia crispata"
"S352","Cladonia cyathomorpha"
"S353","Cladonia digitata"
"S354","Cladonia fimbriata"
"S355","Cladonia firma"
"S356","Cladonia floerkeana"
"S357","Cladonia foliacea"
"S358","Cladonia furcata"
"S359","Cladonia glauca"
"S360","Cladonia gracilis"
"S361","Cladonia humilis"
"S362","Cladonia incrassata"
"S363","Cladonia luteoalba"
"S364","Cladonia macilenta s. lat."
"S365","Cladonia macrophylla"
"S366","Cladonia maxima"
"S367","Cladonia mediterranea"
"S368","Cladonia mitis"
"S369","Cladonia norvegica"
"S370","Cladonia ochrochlora"
"S371","Cladonia parasitica"
"S372","Cladonia peziziformis"
"S373","Cladonia phyllophora"
"S374","Cladonia pleurota"
"S375","Cladonia pocillum"
"S376","Cladonia polydactyla"
"S377","Cladonia portentosa"
"S378","Cladonia pulvinata"
"S379","Cladonia pyxidata"
"S380","Cladonia ramulosa"
"S381","Cladonia rangiferina"
"S382","Cladonia rangiformis"
"S383","Cladonia rei"
"S384","Cladonia scabriuscula"
"S385","Cladonia squamosa s. lat."
"S386","Cladonia strepsilis"
"S387","Cladonia subcervicornis"
"S388","Cladonia subulata"
"S389","Cladonia sulphurina"
"S390","Cladonia symphycarpa"
"S391","Cladonia trassii"
"S392","Cladonia uncialis"
"S393","Cladonia verticillata"
"S394","Cladonia zopfii"
"S395","Claurouxia chalybeioides"
"S396","Clauzadea chondrodes"
"S397","Clauzadea immersa"
"S398","Clauzadea metzleri"
"S399","Clauzadea monticola"
"S400","Clauzadeana macula"
"S401","Cliostomum flavidulum"
"S402","Cliostomum griffithii"
"S403","Cliostomum tenerum"
"S404","Coccotrema citrinescens"
"S405","Collema auriforme"
"S406","Collema bachmanianum"
"S407","Collema callopismum"
"S408","Collema crispum"
"S409","Collema cristatum"
"S410","Collema dichotomum"
"S411","Collema flaccidum"
"S412","Collema fragile"
"S413","Collema fragrans"
"S414","Collema furfuraceum"
"S415","Collema fuscovirens"
"S416","Collema glebulentum"
"S417","Collema latzelii"
"S418","Collema limosum"
"S419","Collema multipartitum"
"S420","Collema nigrescens"
"S421","Collema occultatum"
"S422","Collema parvum"
"S423","Collema polycarpon"
"S424","Collema subflaccidum"
"S425","Collema subnigrescens"
"S426","Collema tenax"
"S427","Collema undulatum"
"S428","Collemopsidium angermannicum"
"S429","Collemopsidium caesium"
"S430","Collemopsidium elegans"
"S431","Collemopsidium foveolatum"
"S432","Collemopsidium halodytes"
"S433","Collemopsidium monense"
"S434","Collemopsidium pelvetiae"
"S435","Collemopsidium subarenisedum"
"S436","Collemopsidium sublitorale"
"S437","Coppinsia minutissima"
"S438","Cornicularia normoerica"
"S439","Cornutispora triangularis"
"S440","Cresponea premnea"
"S441","Cresporhaphis wienkampii"
"S442","Crutarndina petractoides"
"S443","Cryptodiscus gloeocapsa"
"S444","Cryptolechia carneolutea"
"S445","Cystocoleus ebeneus"
"S446","Dendrographa decolorans"
"S447","Dendrographa latebrarum"
"S448","Dermatocarpon deminuens"
"S449","Dermatocarpon intestiniforme"
"S450","Dermatocarpon leptophyllodes"
"S451","Dermatocarpon luridum"
"S452","Dermatocarpon meiophyllizum"
"S453","Dermatocarpon miniatum"
"S454","Dibaeis baeomyces"
"S455","Dictyonema coppinsii"
"S456","Dimerella lutea"
"S457","Dimerella pineti"
"S458","Dimerella tavaresiana"
"S459","Diploicia canescens"
"S460","Diploschistes actinostomus"
"S461","Diploschistes caesioplumbeus"
"S462","Diploschistes gypsaceus"
"S463","Diploschistes muscorum"
"S464","Diploschistes scruposus"
"S465","Diplotomma alboatrum"
"S466","Diplotomma chlorophaeum"
"S467","Diplotomma hedinii"
"S468","Diplotomma murorum"
"S469","Diplotomma pharcidium"
"S470","Dirina fallax"
"S471","Dirina massiliensis"
"S472","Echinodiscus lesdainii"
"S473","Eiglera flavida"
"S474","Elixia flexella"
"S475","Endocarpon adscendens"
"S476","Endocarpon pusillum"
"S477","Enterographa brezhonega"
"S478","Enterographa crassa"
"S479","Enterographa elaborata"
"S480","Enterographa hutchinsiae"
"S481","Enterographa pitardii"
"S482","Enterographa sorediata"
"S483","Enterographa zonata"
"S484","Ephebe hispidula"
"S485","Ephebe lanata"
"S486","Epigloea bactrospora"
"S487","Epigloea medioincrassata"
"S488","Epigloea soleiformis"
"S489","Euopsis granatina"
"S490","Euopsis pulvinata"
"S491","Evernia prunastri"
"S492","Farnoldia jurana"
"S493","Felipes leucopellaeus"
"S494","Fellhanera bouteillei"
"S495","Fellhanera ochracea"
"S496","Fellhanera subtilis"
"S497","Fellhanera viridisorediata"
"S498","Fellhaneropsis myrtillicola"
"S499","Fellhaneropsis vezdae"
"S500","Fissurina alboscripta"
"S501","Flavocetraria nivalis"
"S502","Flavoparmelia caperata"
"S503","Flavoparmelia soredians"
"S504","Frutidella caesioatra"
"S505","Fulgensia bracteata"
"S506","Fulgensia fulgens"
"S507","Fulvophyton sorediatum"
"S508","Fuscidea arboricola"
"S509","Fuscidea austera"
"S510","Fuscidea cyathoides"
"S511","Fuscidea gothoburgensis"
"S512","Fuscidea intercincta"
"S513","Fuscidea kochiana"
"S514","Fuscidea lightfootii"
"S515","Fuscidea lygaea"
"S516","Fuscidea mollis"
"S517","Fuscidea oceanica"
"S518","Fuscidea praeruptorum"
"S519","Fuscidea recensa"
"S520","Fuscopannaria ignobilis"
"S521","Fuscopannaria mediterranea"
"S522","Fuscopannaria praetermissa"
"S523","Gabura fascicularis"
"S524","Gomphillus calycioides"
"S525","Graphina pauciloculata"
"S526","Graphis elegans"
"S527","Graphis handelii"
"S528","Graphis inustuloides"
"S529","Graphis ruiziana"
"S530","Graphis scripta"
"S531","Gregorella humida"
"S532","Gyalecta biformis"
"S533","Gyalecta derivata"
"S534","Gyalecta flotowii"
"S535","Gyalecta foveolaris"
"S536","Gyalecta geoica"
"S537","Gyalecta hypoleuca"
"S538","Gyalecta jenensis"
"S539","Gyalecta truncigena"
"S540","Gyalecta ulmi"
"S541","Gyalidea fritzei"
"S542","Gyalidea lecideopsis"
"S543","Gyalidea subscutellaris"
"S544","Gyalideopsis muscicola"
"S545","Haematomma ochroleucum s. lat."
"S546","Halecania alpivaga"
"S547","Halecania micacea"
"S548","Halecania ralfsii"
"S549","Halecania spodomela"
"S550","Halecania viridescens"
"S551","Henrica melaspora"
"S552","Henrica theleodes"
"S553","Herteliana gagei"
"S554","Hertelidea botryosa"
"S555","Heterodermia leucomelos"
"S556","Heterodermia obscurata"
"S557","Heterodermia propagulifera"
"S558","Hydropunctaria amphibia"
"S559","Hydropunctaria aractina"
"S560","Hydropunctaria maura"
"S561","Hydropunctaria oceanica"
"S562","Hydropunctaria orae"
"S563","Hydropunctaria rheitrophila"
"S564","Hydropunctaria scabra"
"S565","Hymenelia cyanocarpa"
"S566","Hymenelia epulotica"
"S567","Hymenelia heteromorpha"
"S568","Hymenelia melanocarpa"
"S569","Hymenelia prevostii"
"S570","Hyperphyscia adglutinata"
"S571","Hypocenomyce scalaris"
"S572","Hypogymnia farinacea"
"S573","Hypogymnia physodes"
"S574","Hypogymnia tubulosa"
"S575","Hypogymnia vittata"
"S576","Hypotrachyna britannica"
"S577","Hypotrachyna endochlora"
"S578","Hypotrachyna laevigata"
"S579","Hypotrachyna revoluta s. lat."
"S580","Hypotrachyna sinuosa"
"S581","Hypotrachyna taylorensis"
"S582","Icmadophila ericetorum"
"S583","Immersaria athroocarpa"
"S584","Imshaugia aleurites"
"S585","Inoderma subabietinum"
"S586","Ionaspis lacustris"
"S587","Ionaspis odora"
"S588","Ionaspis suaveolens"
"S589","Jamesiella anastomosans"
"S590","Jamesiella scotica"
"S591","Japewia subaurifera"
"S592","Japewia tornoensis"
"S593","Japewiella tavaresiana"
"S594","Kalaallia reactiva"
"S595","Koerberiella wimmeriana"
"S596","Lambiella furvella"
"S597","Lambiella gyrizans"
"S598","Lambiella insularis"
"S599","Lasallia pustulata"
"S600","Lecanactis abietina"
"S601","Lecania aipospila"
"S602","Lecania atrynoides"
"S603","Lecania baeomma"
"S604","Lecania chlorotiza"
"S605","Lecania coerulescens"
"S606","Lecania cuprea"
"S607","Lecania cyrtella"
"S608","Lecania cyrtellina"
"S609","Lecania dubitans"
"S610","Lecania erysibe s. lat."
"S611","Lecania hutchinsiae"
"S612","Lecania inundata"
"S613","Lecania naegelii"
"S614","Lecania nylanderiana"
"S615","Lecania rabenhorstii"
"S616","Lecania suavis"
"S617","Lecania subfuscula"
"S618","Lecania sylvestris"
"S619","Lecania turicensis"
"S620","Lecanographa abscondita"
"S621","Lecanographa amylacea"
"S622","Lecanographa dilleniana"
"S623","Lecanographa lyncea"
"S624","Lecanora achariana"
"S625","Lecanora aitema"
"S626","Lecanora albella"
"S627","Lecanora albellula"
"S628","Lecanora alboflavida"
"S629","Lecanora argentata"
"S630","Lecanora atromarginata"
"S631","Lecanora barkmaniana"
"S632","Lecanora cadubriae"
"S633","Lecanora caesiosora"
"S634","Lecanora caledonica"
"S635","Lecanora campestris"
"S636","Lecanora carpinea"
"S637","Lecanora cenisia"
"S638","Lecanora chlarotera"
"S639","Lecanora cinereofusca"
"S640","Lecanora compallens"
"S641","Lecanora conferta"
"S642","Lecanora confusa"
"S643","Lecanora conizaeoides"
"S644","Lecanora coppinsii"
"S645","Lecanora epanora"
"S646","Lecanora epibryon"
"S647","Lecanora expallens"
"S648","Lecanora farinaria"
"S649","Lecanora formosa"
"S650","Lecanora frustulosa"
"S651","Lecanora gangaleoides"
"S652","Lecanora gisleriana"
"S653","Lecanora handelii"
"S654","Lecanora helicopis"
"S655","Lecanora horiza"
"S656","Lecanora hybocarpa"
"S657","Lecanora hypoptella"
"S658","Lecanora intricata"
"S659","Lecanora intumescens"
"S660","Lecanora jamesii"
"S661","Lecanora muralis sensu auct."
"S662","Lecanora ochroidea"
"S663","Lecanora orosthea"
"S664","Lecanora pannonica"
"S665","Lecanora phaeostigma"
"S666","Lecanora poliophaea"
"S667","Lecanora polytropa"
"S668","Lecanora populicola"
"S669","Lecanora praepostera"
"S670","Lecanora pulicaris"
"S671","Lecanora quercicola"
"S672","Lecanora rugosella"
"S673","Lecanora rupicola"
"S674","Lecanora saligna"
"S675","Lecanora sarcopidoides"
"S676","Lecanora sinuosa"
"S677","Lecanora soralifera"
"S678","Lecanora stenotropa"
"S679","Lecanora strobilina"
"S680","Lecanora subaurea"
"S681","Lecanora subcarnea"
"S682","Lecanora subintricata"
"S683","Lecanora sublivescens"
"S684","Lecanora sulphurea"
"S685","Lecanora swartzii"
"S686","Lecanora symmicta"
"S687","Lecanora varia"
"S688","Lecanora viridiatra"
"S689","Lecidea auriculata"
"S690","Lecidea berengeriana"
"S691","Lecidea brachyspora"
"S692","Lecidea confluens"
"S693","Lecidea diducens"
"S694","Lecidea endomelaena"
"S695","Lecidea erythrophaea"
"S696","Lecidea exigua"
"S697","Lecidea fuliginosa"
"S698","Lecidea fuscoatra s. lat."
"S699","Lecidea globulispora"
"S700","Lecidea grisella"
"S701","Lecidea lactea s. lat."
"S702","Lecidea lapicida"
"S703","Lecidea lichenicola"
"S704","Lecidea lithophila"
"S705","Lecidea nylanderi"
"S706","Lecidea obluridata"
"S707","Lecidea paupercula"
"S708","Lecidea phaeops"
"S709","Lecidea plana"
"S710","Lecidea promixta"
"S711","Lecidea sarcogynoides"
"S712","Lecidea silacea"
"S713","Lecidea subhumida"
"S714","Lecidea turgidula"
"S715","Lecidella anomaloides"
"S716","Lecidella asema"
"S717","Lecidella carpathica"
"S718","Lecidella elaeochroma"
"S719","Lecidella flavosorediata"
"S720","Lecidella meiococca"
"S721","Lecidella scabra"
"S722","Lecidella stigmatea"
"S723","Lecidella subviridis"
"S724","Lecidella viridans"
"S725","Lecidoma demissum"
"S726","Lemmopsis arnoldiana"
"S727","Lemmopsis oblongans"
"S728","Lempholemma botryosum"
"S729","Lempholemma chalazanellum"
"S730","Lempholemma chalazanum"
"S731","Lempholemma cladodes"
"S732","Lempholemma polyanthes"
"S733","Lempholemma radiatum"
"S734","Lepraria borealis"
"S735","Lepraria caesioalba"
"S736","Lepraria crassissima"
"S737","Lepraria diffusa"
"S738","Lepraria eburnea"
"S739","Lepraria ecorticata"
"S740","Lepraria elobata"
"S741","Lepraria finkii"
"S742","Lepraria humida"
"S743","Lepraria incana s. lat."
"S744","Lepraria jackii"
"S745","Lepraria membranacea"
"S746","Lepraria neglecta"
"S747","Lepraria nivalis"
"S748","Lepraria rigidula"
"S749","Lepraria sylvicola"
"S750","Lepraria umbricola"
"S751","Leprocaulon calcicola"
"S752","Leprocaulon microscopicum"
"S753","Leptogidium dendriscum"
"S754","Leptogium biatorinum"
"S755","Leptogium brebissonii"
"S756","Leptogium britannicum"
"S757","Leptogium burgessii"
"S758","Leptogium cochleatum"
"S759","Leptogium coralloideum"
"S760","Leptogium cyanescens"
"S761","Leptogium diffractum"
"S762","Leptogium gelatinosum"
"S763","Leptogium hibernicum"
"S764","Leptogium intermedium"
"S765","Leptogium lichenoides"
"S766","Leptogium magnussonii"
"S767","Leptogium massiliense"
"S768","Leptogium palmatum"
"S769","Leptogium plicatile"
"S770","Leptogium pulvinatum"
"S771","Leptogium saturninum"
"S772","Leptogium schraderi"
"S773","Leptogium subtile"
"S774","Leptogium subtorulosum"
"S775","Leptogium tenuissimum"
"S776","Leptogium teretiusculum"
"S777","Leptogium turgidum"
"S778","Lichenomphalia alpina"
"S779","Lichenomphalia hudsoniana"
"S780","Lichenomphalia umbellifera"
"S781","Lichenomphalia velutina"
"S782","Lichina confinis"
"S783","Lichina pygmaea"
"S784","Lichinodium sirosiphoideum"
"S785","Lithographa tesserata"
